Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
07/03/2019	4	0,1	3	13	17	17	70	3,4	296	15,1	50	1003	219	0	4	2
08/03/2019	4	0,2	4	18	20	25	66	2,1	355	14,2	52	1010	234	0	5	4
09/03/2019	4	0,1	3	15	15	19	71	2	309	13,1	61	1018	248	0	6	5
10/03/2019	4	0,2	3	19	22	23	69	1,4	27	15,1	58	1016	246	0	7	5
11/03/2019	4	0,1	3	21	30	26	58	1,9	38	14,7	71	1016	231	0	6	4
12/03/2019	6	0,1	5	20	15	27	57	2	289	13,9	76	1014	254	0	6	4
13/03/2019	4	0,1	3	14	27	18	72	2,5	218	16,7	61	1011	219	0	6	4
14/03/2019	4	0,1	3	18	27	23	64	2	358	12,7	61	1015	258	0	5	3
15/03/2019	4	0,1	5	26	30	33	63	1,6	84	15,6	48	1013	263	0	6	4
16/03/2019	5	0,1	5	26	28	33	66	1,7	276	15,4	49	1009	268	0	7	5
17/03/2019	4	0,1	2	11	55	14	81	3,4	316	20,8	29	1003	268	0	7	3
18/03/2019	4	0,1	2	9	12	13	79	2,9	56	13,7	67	1010	56	0	5	3
19/03/2019	4	0,1	2	7	9	11	74	2,3	35	12,5	65	1011	167	0	4	3
20/03/2019	4	0,1	3	14	7	18	71	2,3	22	11,5	65	1015	102	0	3	2
21/03/2019	4	0,1	2	7	10	10	97	3,2	29	13,4	50	1014	231	0	4	3
22/03/2019	4	0,1	3	10	11	14	97	2	38	15,1	51	1013	229	0	5	4
23/03/2019	4	0,1	3	16	19	20	87	1,2	47	15,1	60	1013	124	0	10	9
24/03/2019	4	0,1	2	15	19	19	72	1,8	25	14,5	58	1011	230	0	11	9
25/03/2019	5	0,1	3	17	16	21	77	1,9	40	14,9	50	1007	277	0	8	7
