Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	HORA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
		µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
01/01/2019	00	3	0,2	2	19	16	21	27	2,7	332	7,3	61	1018	1	0	14	14
01/01/2019	01	3	0,3	2	23	17	26	21	2,4	331	6,4	64	1018	0	0	15	14
01/01/2019	02	4	0,1	1	16	13	18	30	2,6	332	6,3	62	1018	0	0	11	11
01/01/2019	03	4	0,1	1	10	10	12	36	2,7	332	6,6	58	1018	1	0	8	8
01/01/2019	04	4	0,1	1	8	8	10	38	1,8	338	6,7	56	1018	1	0	6	6
01/01/2019	05	4	0,1	2	6	6	9	39	2,7	333	6,1	58	1017	1	0	6	6
01/01/2019	06	4	0,1	2	5	5	8	42	4,4	326	6,3	56	1017	1	0	4	4
01/01/2019	07	4	0,1	1	4	5	6	42	3,6	328	6	57	1017	1	0	4	4
01/01/2019	08	3	0,1	2	4	4	7	42	3	330	6,5	55	1018	40	0	3	3
01/01/2019	09	4	0,1	2	7	4	11	41	1,4	310	10,4	45	1018	211	0	3	2
01/01/2019	10	4	0,1	3	8	3	13	49	0,8	222	14,2	34	1019	368	0	2	2
01/01/2019	11	4	0,1	4	9	4	15	52	0,9	222	16,5	32	1018	486	0	2	2
01/01/2019	12	4	0,1	4	7	3	12	66	3,5	225	19	25	1018	544	0	2	2
01/01/2019	13	3	0,1	3	6	3	11	67	3,8	218	19,5	25	1017	539	0	2	1
01/01/2019	14	3	0,1	3	5	3	10	71	5,2	236	19,7	24	1016	473	0	1	1
01/01/2019	15	3	0,1	3	5	2	8	73	5	229	19,8	24	1016	348	0	1	1
01/01/2019	16	3	0,1	3	6	4	10	71	3,2	209	19,4	28	1016	180	0	3	2
01/01/2019	17	3	0,1	3	11	6	15	61	1	104	17,6	46	1017	27	0	3	3
01/01/2019	18	3	0,1	3	24	7	28	47	1,6	46	13,7	76	1017	0	0	6	5
01/01/2019	19	3	0,1	10	61	14	77	14	1	28	12,7	73	1018	0	0	9	9
01/01/2019	20	3	0,2	5	47	11	54	11	2,3	343	9,2	74	1018	0	0	7	7
01/01/2019	21	3	0,1	3	23	8	27	25	3,3	329	8,1	70	1017	0	0	5	5
01/01/2019	22	3	0,1	2	15	8	18	31	2,5	331	7,7	72	1017	0	0	6	5
01/01/2019	23	3	0,1	2	20	9	24	22	2,5	337	7,4	72	1017	0	0	6	6
02/01/2019	00	3	0,1	2	21	6	23	28	2,1	348	8,2	62	1017	0	0	5	5
02/01/2019	01	3	0,1	2	13	5	16	35	1,6	334	7,8	58	1016	0	0	4	4
02/01/2019	02	3	0,1	2	14	4	16	30	1,8	330	7,4	61	1016	0	0	3	3
02/01/2019	03	4	0,1	2	12	4	14	37	2,4	325	8,7	56	1016	0	0	3	3
02/01/2019	04	4	0,1	2	8	3	11	47	2	328	9,9	52	1015	0	0	2	2
02/01/2019	05	3	0,1	2	11	4	13	45	1,3	303	11,4	48	1014	0	0	3	2
02/01/2019	06	3	0,1	2	18	6	20	41	2,3	305	11,6	46	1014	0	0	3	2
02/01/2019	07	3	0,1	2	26	5	29	34	3,1	326	11,2	47	1014	0	0	3	2
02/01/2019	08	3	0,1	7	52	9	64	16	2,2	340	12	43	1014	36	0	3	3
02/01/2019	09	3	0,1	21	46	12	78	18	1,3	331	13,3	43	1015	207	0	4	3
02/01/2019	10	3	0,2	22	41	20	75	28	1	354	16,5	37	1015	364	0	4	3
02/01/2019	11	3	0,1	14	34	12	56	38	0,6	79	17,2	48	1014	478	0	5	4
02/01/2019	12	3	0,2	13	27	11	47	46	1,3	107	17,2	58	1013	534	0	5	4
02/01/2019	13	3	0,1	5	11	8	18	66	2	95	16,6	70	1013	527	0	5	4
02/01/2019	14	3	0,1	3	10	7	15	72	1,6	121	16,5	74	1013	459	0	5	5
02/01/2019	15	3	0,1	3	9	6	14	76	1,7	102	16,4	73	1012	336	0	4	4
02/01/2019	16	3	0,1	3	10	5	15	74	1,6	108	15,8	70	1013	173	0	4	3
02/01/2019	17	3	0,1	2	12	10	15	68	0,8	107	14,8	64	1014	29	0	4	3
02/01/2019	18	4	0,1	31	68	20	116	16	1,1	349	13	71	1014	0	0	6	4
02/01/2019	19	4	0,1	30	61	27	107	6	2,7	328	9,9	84	1015	0	0	10	9
02/01/2019	20	3	0,1	4	35	11	41	18	2,8	331	9,1	89	1015	0	0	8	7
02/01/2019	21	3	0,1	3	27	9	31	20	2,4	336	7,9	92	1015	0	0	7	7
02/01/2019	22	4	0,1	2	24	8	27	21	2,3	343	7,4	91	1015	0	0	7	6
02/01/2019	23	4	0,1	2	17	7	20	28	3	333	6,8	90	1015	0	0	6	5
03/01/2019	00	4	0,1	2	17	8	20	24	2,8	330	6,4	91	1015	0	0	7	7
03/01/2019	01	4	0,1	2	17	7	19	25	2,6	339	6	89	1016	0	0	6	6
03/01/2019	02	4	0,1	1	11	5	13	30	2,8	336	5,3	85	1016	0	0	5	5
03/01/2019	03	4	0,1	2	8	5	11	32	3,5	335	5,5	84	1016	0	0	4	4
03/01/2019	04	3	0,1	2	9	5	11	31	3,4	337	5,6	84	1016	0	0	5	5
03/01/2019	05	4	0,1	1	9	4	11	33	3,1	341	5,7	82	1016	0	0	4	4
03/01/2019	06	4	0,1	1	12	5	14	31	3	341	6,1	80	1016	0	0	4	4
03/01/2019	07	4	0,1	4	31	5	37	13	2,3	353	6,6	82	1016	0	0	4	3
03/01/2019	08	4	0,1	13	47	5	67	3	1,7	2	8,6	80	1017	2	0	4	3
03/01/2019	09	4	0,1	16	42	8	67	21	1,5	22	11,4	73	1018	157	0	3	3
03/01/2019	10	3	0,1	5	22	7	30	42	1,3	34	13,3	67	1018	168	0	3	2
03/01/2019	11	4	0,1	7	35	13	45	29	0,6	64	13,6	68	1018	92	0	5	5
03/01/2019	12	5	0,1	5	19	9	27	52	1,7	78	14,2	71	1018	153	0	3	2
03/01/2019	13	4	0,1	3	12	8	16	63	1,6	85	14,1	73	1017	112	0	3	2
03/01/2019	14	5	0,1	3	13	8	17	60	1,2	206	13,3	80	1017	59	0	3	2
03/01/2019	15	4	0,2	4	27	5	33	45	0,9	247	12,5	91	1017	45	0	3	2
03/01/2019	16	3	0,2	3	14	5	18	58	0,5	86	13,2	87	1017	93	0,1	3	2
03/01/2019	17	4	0,3	3	16	12	20	57	0,5	127	12,8	85	1017	16	0	4	3
03/01/2019	18	4	0,2	28	60	7	102	18	0,7	357	11,7	89	1017	0	0	5	4
03/01/2019	19	5	0,4	57	61	15	147	4	1,9	334	9,3	94	1017	0	0	10	8
03/01/2019	20	3	0,3	11	40	11	57	5	2,4	335	7,9	97	1017	0	0	8	7
03/01/2019	21	3	0,3	7	29	9	40	9	3,4	328	7,5	97	1017	0	0	6	5
03/01/2019	22	3	0,2	2	17	7	20	22	2,9	331	7,2	96	1017	0	0	5	4
03/01/2019	23	3	0,2	2	12	7	15	22	2,5	330	6,5	97	1017	0	0	5	5
04/01/2019	00	4	0,3	3	26	10	30	8	2,6	335	6,1	98	1017	0	0	8	7
04/01/2019	01	4	0,2	3	27	9	31	9	2,3	335	5,8	98	1017	0	0	7	7
04/01/2019	02	4	0,2	1	18	8	20	13	2,7	334	5,1	97	1017	0	0	7	6
04/01/2019	03	4	0,1	2	13	6	15	17	1,9	332	5	97	1017	0	0	6	5
04/01/2019	04	4	0,1	1	10	6	13	22	2,7	329	5,2	96	1017	0	0	5	5
04/01/2019	05	4	0,1	1	11	5	13	23	2,6	331	5	95	1016	0	0	5	4
04/01/2019	06	4	0,1	2	15	6	18	19	2,6	332	4,9	95	1017	0	0,1	5	5
04/01/2019	07	5	0,1	3	22	6	27	11	3,1	326	4,4	95	1017	0	0	5	5
04/01/2019	08	5	0,1	7	30	7	40	11	2,1	317	5,2	94	1018	20	0	5	5
