Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2013	1.1	306	12.5	67	1002	96	0	4	3	0	0.1	1	10	4	11	56
02/01/2013	0.8	353	12.2	63	1006	108	0	3	2	0	0.1	3	23	5	28	54
03/01/2013	0.9	18	11.7	64	1017	95	0	3	2	0	0.2	2	19	5	22	62
04/01/2013	0.8	289	10.8	75	1019	120	0	7	5	1	0.1	5	30	9	38	41
05/01/2013	0.9	313	14.3	47	1012	124	0	4	3	0	0.2	4	27	11	33	48
06/01/2013	0.6	357	14	57	1009	125	0	7	6	1	0.2	6	28	13	36	47
07/01/2013	0.6	8	11.8	65	1007	125	0	9	7	1	0.3	13	49	16	69	35
08/01/2013	0.8	308	10.6	64	1009	125	0	11	10	1	0.2	6	35	19	45	34
09/01/2013	1.4	308	11.7	63	1007	110	0	8	7	0	0.2	2	16	20	19	53
10/01/2013	2.1	289	16.2	63	1005	103	0	3	2	1	0.1	1	5	6	7	66
11/01/2013	0.8	342	13.7	68	1004	127	0	4	3	0	0.2	3	26	8	30	51
12/01/2013	1.1	292	13.5	68	1002	109	0	6	5	0	0.1	2	16	8	18	55
13/01/2013	2	302	12.3	58	997	116	0	2	1	0	0.2	1	5	5	6	71
14/01/2013	2.3	317	11.8	51	1000	119	0	1	1	0	0.2	2	11	5	13	67
15/01/2013	2.9	297	12.5	53	1000	74	0	4	2	0	0.1	1	5	15	7	65
16/01/2013	2.3	272	14.2	55	996	71	0	3	1	0	0.1	1	4	10	5	70
17/01/2013	3.3	302	15.9	58	994	106	0	2	1	1	0.1	1	2	11	4	70
18/01/2013	1.6	257	18	61	990	46	0	2	1	2	0.1	1	11	5	13	54
19/01/2013	1.8	234	14.5	74	973	54	3.8	3	2	0	0.1	1	10	9	12	60
20/01/2013	3.2	296	12.4	56	983	120	0	1	1	0	0.2	5	18	5	25	61
21/01/2013	1.7	304	12.2	58	991	118	0.3	2	1	0	0.1	3	17	6	22	58
22/01/2013	2.1	265	11	57	993	120	1.4	1	1	0	0.1	2	10	3	13	69
23/01/2013	3.9	295	10.6	53	994	139	0.4	2	1	0	0.1	3	19	8	23	72
24/01/2013	3.3	291	14.1	51	993	132	1	2	1	0	0.2	1	10	9	12	72
25/01/2013	1.1	316	13.4	49	997	142	0	2	1	0	0.1	3	25	11	30	61
26/01/2013	2.3	320	15.4	63	997	136	0.3	3	2	0	0.1	2	19	10	22	58
27/01/2013	1.4	286	16.3	57	999	125	0	3	2	0	0.2	2	13	5	16	55
28/01/2013	2.3	301	14.7	44	1006	135	0	2	1	0	0.1	2	21	8	25	65
29/01/2013	0.6	11	12.4	55	1010	152	0	8	6	1	0.2	20	58	18	89	40
30/01/2013	0.7	287	14.8	56	1010	150	0	7	6	6	0.2	6	36	19	45	44
31/01/2013	0.5	330	16.4	62	1011	157	0	8	6	6	0.2	17	55	21	81	32
01/02/2013	1.3	252	18.3	49	1002	162	0	6	4	4	0.1	3	25	16	29	47
