Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	HORA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
		m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2013	00	0.8	319	6.2	88	1004	7	0	20	19	0	0.3	1	25	21	26	23
01/01/2013	01	0.7	318	5.3	90	1003	7	0	23	22	0	0.3	1	29	24	31	16
01/01/2013	02	0.5	274	7.3	80	1002	8	0	11	11	0	0.1	1	19	12	21	32
01/01/2013	03	0.8	286	9.6	73	1002	7	0	5	5	0	0	1	15	6	16	52
01/01/2013	04	0.5	250	10.2	70	1001	8	0	4	4	0	0	1	10	5	12	60
01/01/2013	05	0.3	273	9.2	75	1001	8	0	5	4	0	0.1	1	12	5	13	52
01/01/2013	06	1.3	282	11.7	68	1001	7	0	3	3	0	0	1	7	4	9	65
01/01/2013	07	1.5	292	12.5	67	1001	7	0	4	3	0	0	1	4	6	5	68
01/01/2013	08	1.8	304	12.6	69	1001	12	0	4	3	0	0.1	1	5	6	6	67
01/01/2013	09	1.7	298	12.9	69	1001	44	0	4	3	0	0	1	4	7	5	64
01/01/2013	10	0.4	314	13.4	68	1002	117	0	3	3	0	0.1	1	5	4	6	62
01/01/2013	11	0.5	288	14.8	62	1002	271	0	2	2	0	0.1	1	5	2	6	66
01/01/2013	12	1.3	352	16.5	54	1001	425	0	1	1	0	0.2	1	5	1	7	71
01/01/2013	13	1.5	356	17.3	51	1000	462	0	1	1	0	0.3	1	5	1	6	71
01/01/2013	14	1	346	17.7	50	1000	406	0	1	1	0	0.2	1	5	1	7	70
01/01/2013	15	1.4	312	18	51	1000	324	0	1	1	0	0.2	1	5	2	7	66
01/01/2013	16	2.1	316	16.6	55	1001	127	0	2	1	0	0.2	1	7	2	9	63
01/01/2013	17	1.5	314	14.7	61	1002	31	0	2	2	0	0.2	2	9	2	11	58
01/01/2013	18	1.3	299	13.5	64	1002	6	0	1	1	0	0.2	1	8	2	9	57
01/01/2013	19	0.5	326	11.8	70	1003	6	0	2	2	0	0.2	1	22	2	23	44
01/01/2013	20	1.5	316	11.3	72	1003	6	0	2	2	0	0.1	1	19	2	21	45
01/01/2013	21	1.2	310	11.4	71	1004	6	0	2	1	0	0.1	1	11	2	12	51
01/01/2013	22	1.1	312	10.8	72	1004	6	0	2	1	0	0.2	1	12	2	13	49
01/01/2013	23	1	312	10.4	73	1004	6	0	2	2	0	0.1	1	9	2	11	49
02/01/2013	00	0.7	302	10.3	72	1004	7	0	2	2	0	0	1	8	2	9	49
02/01/2013	01	0.5	321	10.5	69	1004	7	0	1	1	0	0	1	8	1	9	50
02/01/2013	02	1.1	313	9.6	72	1004	6	0	1	1	0	0	1	6	1	7	47
