Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	HORA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
		µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
01/01/2020	00	3		1	2	20	4	27	2,5	336	5,8	97	1020	0	0	18	18
01/01/2020	01	3		1	6	24	8	21	2,9	333	5,5	98	1020	0	0	22	21
01/01/2020	02	3		1	7	26	8	21	2,8	333	5,4	98	1020	0	0	24	23
01/01/2020	03	3		1	7	30	7	20	2,5	334	5,1	98	1019	0	0	28	27
01/01/2020	04	3		1	7	31	7	16	2,5	327	4,8	99	1019	0	0	30	29
01/01/2020	05	3		1	6	27	6	17	2,5	334	4,3	99	1019	0	0	26	25
01/01/2020	06	3		1	4	22	4	18	2,1	329	4,1	99	1019	0	0	21	21
01/01/2020	07	3		1	2	20	3	20	2,9	333	3,7	100	1019	0	0	19	19
01/01/2020	08	3		1	1	17	2	22	2,1	334	4,1	99	1020	7	0	17	16
01/01/2020	09	3		1	1	17	3	24	1,8	330	7,9	85	1020	123	0	16	16
01/01/2020	10	3		3	3	16	7	32	0,9	303	12,7	70	1021	284	0	15	14
01/01/2020	11	3		3	6	15	11	50	0,9	219	14,3	64	1021	396	0	12	11
01/01/2020	12	3		3	4	14	8	64	1,8	215	14,2	65	1020	449	0	12	12
01/01/2020	13	3		2	3	12	6	77	2,7	205	14,5	66	1019	444	0	8	8
01/01/2020	14	3		2	3	13	6	79	2,2	187	14,7	68	1018	379	0	10	9
01/01/2020	15	3		2	4	17	7	80	1,8	145	14,2	75	1018	263	0	12	11
01/01/2020	16	3		2	5	24	8	73	1,8	158	13,7	76	1018	110	0	17	16
01/01/2020	17	3		2	6	23	9	73	1,4	182	12,6	83	1019	4	0	16	16
01/01/2020	18	3		2	8	27	11	67	1,1	216	11	91	1019	0	0	20	20
01/01/2020	19	3		8	37	28	49	25	1,4	304	9,3	95	1020	0	0	22	21
01/01/2020	20	3		10	31	34	46	9	2,7	330	6,9	100	1020	0	0	28	27
01/01/2020	21	3		2	16	26	20	17	2,6	333	7,1	100	1020	0	0	23	23
01/01/2020	22	3		1	12	25	14	22	2,8	327	8,2	98	1020	0	0	23	22
01/01/2020	23	3		1	8	22	10	31	2,5	326	9,3	95	1020	0	0	20	20
02/01/2020	00	3		1	6	22	7	35	2,2	328	9,6	94	1020	0	0	20	20
02/01/2020	01	3		1	4	23	6	41	1,7	333	9,8	93	1019	0	0	20	20
02/01/2020	02	3		1	2	23	4	50	1,8	330	9,8	93	1019	0	0	20	20
02/01/2020	03	3		2	2	20	4	56	1,9	331	9,7	92	1019	0	0	19	18
02/01/2020	04	3		1	2	19	4	54	1,7	324	9,5	92	1019	0	0	17	17
02/01/2020	05	3		1	3	18	5	50	2	325	9,4	91	1019	0	0	16	15
02/01/2020	06	3		2	7	17	9	45	2,2	320	9,2	91	1019	0	0	15	15
