Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	HORA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
		µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
01/01/2012	00	0	0,4	1	8	9	9	46	0,7	320	15,1	55	1009	0	0	6	5
01/01/2012	01	0	0,4	1	15	10	16	40	0,7	289	15,1	52	1009	0	0	4	4
01/01/2012	02	0	0,3	1	16	9	17	38	0,7	344	14,4	55	1009	0	0	4	4
01/01/2012	03	1	0,4	0	8	5	9	45	0,8	327	13	59	1009	0	0	4	4
01/01/2012	04	1	0,4	1	7	5	8	44	0,8	341	12,9	59	1009	0	0	4	4
01/01/2012	05	1	0,4	1	5	5	7	42	1	337	11	65	1009	0	0	4	3
01/01/2012	06	2	0,5	0	3	5	4	45	1,3	329	10,7	65	1009	0	0	4	3
01/01/2012	07	2	0,7	1	4	4	5	47	1,4	328	10,9	63	1010	0	0	4	3
01/01/2012	08	2	0,7	1	4	5	5	43	1,2	335	10,5	65	1010	30	0	4	4
01/01/2012	09	2	0,6	1	6	5	8	40	0,6	346	12,5	60	1011	164	0	4	4
01/01/2012	10	3	0,4	3	11	21	15	40	0,2	231	16,6	49	1011	298	0	5	3
01/01/2012	11	2	0,2	2	10	5	14	52	0,3	184	18,6	40	1011	398	0	3	3
01/01/2012	12	2	0	2	9	3	13	58	0,4	169	19,6	37	1010	448	0	2	2
01/01/2012	13	2	0	2	8	6	11	64	0,5	156	19,8	39	1009	440	0	4	4
01/01/2012	14	2	0,1	2	9	6	12	67	0,8	154	19,4	45	1008	382	0	4	4
01/01/2012	15	2	0	1	6	5	8	74	1,1	167	19,5	43	1008	278	0	4	3
01/01/2012	16	2	0	1	5	5	6	74	0,9	165	18,2	54	1008	145	0	4	3
01/01/2012	17	1	0	1	6	6	7	69	0,4	197	17	59	1009	25	0	4	3
01/01/2012	18	2	0	3	20	10	26	53	0,2	315	15,4	66	1009	0	0	7	6
01/01/2012	19	2	0,1	55	66	29	150	7	0,4	354	13,6	76	1009	0	0	16	14
01/01/2012	20	1	0,1	2	33	16	35	18	1	332	11,7	76	1009	0	0	14	12
01/01/2012	21	1	0,1	1	22	12	24	21	0,7	318	10,7	77	1009	0	0	11	10
01/01/2012	22	1	0	2	23	13	25	23	0,7	329	10,5	76	1009	0	0	11	10
01/01/2012	23	1	0	1	16	13	17	24	0,9	327	9,6	80	1008	0	0	12	11
02/01/2012	00	1	0,1	1	21	14	23	21	0,9	320	10,3	77	1008	0	0	12	11
02/01/2012	01	2	0,2	1	19	15	20	23	0,7	318	10,6	74	1007	0	0	11	10
02/01/2012	02	1	0,3	1	13	15	14	27	1,1	315	11,2	70	1007	0	0	8	7
02/01/2012	03	1	0,2	7	21	23	32	27	1,1	305	12,9	61	1007	0	0	7	4
02/01/2012	04	1	0,1	1	13	12	14	43	0,5	330	14,5	52	1007	0	0	4	3
02/01/2012	05	0	0,2	3	14	39	18	45	1,7	321	14,2	52	1007	0	0	8	5
02/01/2012	06	1	0,1	2	10	30	12	54	2,6	304	13,7	56	1008	0	0	13	11
02/01/2012	07	1	0,1	3	16	82	20	46	3	298	13,7	58	1008	0	0	18	10
02/01/2012	08	1	0,2	6	20	50	29	42	3,3	293	13,8	59	1009	22	0	10	6
02/01/2012	09	1	0,1	4	16	23	22	49	3,1	297	14,8	57	1009	166	0	6	4
02/01/2012	10	1	0	3	11	27	17	58	2,7	305	16,6	51	1010	322	0	5	3
02/01/2012	11	1	0	4	10	14	15	61	2,2	306	18,2	45	1010	435	0	3	1
02/01/2012	12	1	0	3	12	70	16	61	2,4	303	19	40	1009	348	0	7	1
02/01/2012	13	1	0,1	2	9	66	12	65	1,8	289	18,8	39	1009	269	0	8	2
02/01/2012	14	1	0,1	3	12	48	16	62	2,3	299	19	37	1010	278	0	6	2
02/01/2012	15	1	0	3	15	25	19	58	2	301	18,8	39	1010	198	0	4	2
02/01/2012	16	0	0,1	2	13	22	16	59	1,8	300	18,7	38	1011	141	0	4	2
02/01/2012	17	0	0	2	18	33	22	52	1,2	297	17,7	42	1011	23	0	5	2
02/01/2012	18	1	0,2	2	27	57	29	38	0,8	296	16,2	47	1012	0	0	9	4
02/01/2012	19	0	0,3	6	32	69	41	35	1,9	299	16,1	46	1013	0	0	10	5
02/01/2012	20	0	0,1	8	29	46	42	37	1,9	295	15,9	48	1014	0	0	7	3
02/01/2012	21	0	0,2	3	24	14	28	39	1,2	297	15,2	49	1015	0	0	4	3
02/01/2012	22	0	0	1	11	6	13	51	0,9	286	14,2	52	1015	0	0	3	3
02/01/2012	23	0	0,1	7	35	7	46	26	1,3	300	14	50	1015	0	0	3	2
03/01/2012	00	0	0	4	17	6	23	40	0,8	304	12,8	52	1015	0	0	4	2
03/01/2012	01	0	0	1	12	13	14	43	1,2	308	11,9	56	1015	0	0	5	3
03/01/2012	02	1	0,1	0	9	11	9	46	0,9	292	11,3	56	1015	0	0	4	3
03/01/2012	03	1	0,4	4	22	11	29	36	1,2	288	12	51	1015	0	0	4	2
03/01/2012	04	1	0,3	3	12	10	16	47	2	330	11,7	51	1015	0	0	3	2
03/01/2012	05	1	0,3	0	5	5	6	55	1,7	325	11,3	51	1015	0	0	2	1
03/01/2012	06	1	0,2	1	8	4	10	48	2	317	10,6	55	1015	0	0	3	2
03/01/2012	07	2	0,2	3	17	34	21	38	1,2	279	10,4	56	1015	0	0	9	6
03/01/2012	08	2	0,4	4	25	44	31	33	0,9	284	11,1	52	1015	28	0	16	12
03/01/2012	09	2	0,5	11	29	52	47	32	1,2	288	13,1	46	1015	163	0	11	7
03/01/2012	10	4	0,3	4	15	20	21	52	0,5	263	15,4	38	1015	303	0	5	3
03/01/2012	11	2	0,2	2	8	9	11	61	0,6	276	17,3	33	1015	405	0	2	1
03/01/2012	12	2	0,1	2	12	10	16	62	0,2	96	19,1	28	1014	455	0	3	1
03/01/2012	13	3	0	5	22	19	29	55	0,2	87	19,4	28	1013	449	0	4	2
03/01/2012	14	2	0,1	5	20	15	28	59	0,3	117	19,5	29	1013	391	0	3	2
03/01/2012	15	3	0	4	20	12	26	60	0,3	139	20,1	28	1012	286	0	3	2
03/01/2012	16	2	0	3	19	15	24	62	0,7	92	18	38	1013	153	0	4	2
03/01/2012	17	2	0	2	29	12	31	46	0,5	52	15,6	54	1013	27	0	4	3
03/01/2012	18	1	0,1	5	48	19	55	24	0,5	44	13,9	64	1013	0	0	10	8
03/01/2012	19	2	0,1	18	66	26	93	7	0,7	354	12,2	60	1014	0	0	14	12
03/01/2012	20	3	0,2	7	51	24	63	8	0,6	338	10,4	63	1015	0	0	14	11
03/01/2012	21	2	0,2	2	36	19	39	16	1	326	8,9	67	1015	0	0	13	12
03/01/2012	22	2	0,4	1	22	14	24	30	1,3	328	9	64	1015	0	0	10	9
03/01/2012	23	2	0,3	1	15	10	16	35	1,2	331	8,6	64	1015	0	0	7	7
04/01/2012	00	2	0,3	1	8	9	9	41	0,9	318	8,7	64	1014	0	0	6	5
04/01/2012	01	2	0,2	1	8	8	9	41	1,2	331	8,4	62	1014	0	0	6	5
04/01/2012	02	1	0,3	0	9	7	10	46	0,7	354	10,5	48	1014	0	0	5	4
04/01/2012	03	1	0,3	1	9	5	9	50	0,5	357	10,8	44	1014	0	0	4	3
04/01/2012	04	0	0,2	0	11	8	12	51	0,6	319	11,3	42	1014	0	0	4	3
04/01/2012	05	1	0,2	0	9	6	9	48	1	332	9,6	49	1014	0	0	4	3
04/01/2012	06	0	0,3	1	19	29	20	38	1	320	9,6	53	1014	0	0	6	4
04/01/2012	07	1	0,3	4	33	14	39	27	0,9	328	10,5	50	1014	0	0	5	4
04/01/2012	08	1	0,3	3	30	12	35	30	1,5	325	10,2	51	1015	34	0	6	4
04/01/2012	09	1	0,3	7	27	17	38	42	0,6	348	14,7	38	1015	176	0	6	4
04/01/2012	10	2	0,4	7	24	15	35	44	0,6	69	15,2	49	1016	315	0	7	6
04/01/2012	11	1	0,1	5	17	11	25	52	0,5	104	16	54	1016	412	0	6	4
04/01/2012	12	0	0,1	3	14	11	18	60	0,3	195	17,1	54	1015	459	0	6	4
04/01/2012	13	1	0,1	7	23	15	33	52	0,6	220	18,5	42	1014	450	0	6	4
04/01/2012	14	1	0,3	8	26	16	38	50	0,8	171	19,9	36	1012	429	0	6	4
04/01/2012	15	1	0,2	5	24	16	32	49	0,5	174	19,7	40	1012	217	0	5	3
04/01/2012	16	1	0,4	7	33	17	43	38	0,4	54	18,7	49	1012	134	0	7	5
04/01/2012	17	1	0,3	9	51	22	65	21	0,2	48	16,9	57	1012	30	0	8	6
04/01/2012	18	1	0,4	7	60	25	71	11	0,3	50	14,8	63	1013	0	0	13	10
04/01/2012	19	2	0,4	78	77	32	198	6	0,4	21	14,1	68	1014	0	0	18	15
04/01/2012	20	1	0,4	31	61	33	108	7	0,7	331	14,1	62	1014	0	0	16	13
04/01/2012	21	0	0,2	5	39	37	47	19	0,9	317	14,4	55	1014	0	0	12	9
04/01/2012	22	1	0,2	4	32	26	38	14	0,8	311	11,8	65	1013	0	0	11	9
04/01/2012	23	1	0,3	2	18	11	20	28	1,3	319	11,6	64	1014	0	0	8	7
05/01/2012	00	1	0,4	1	13	9	14	35	1,2	321	12,1	62	1014	0	0	6	5
05/01/2012	01	2	0,3	0	7	8	7	44	0,7	345	12,9	59	1014	0	0	4	4
05/01/2012	02	1	0,4	1	8	6	9	50	0,3	270	14,4	51	1013	0	0	3	3
05/01/2012	03	2	0,4	1	11	13	12	44	0,5	303	14	50	1013	0	0	4	2
05/01/2012	04	1	0,5	1	12	13	13	36	0,9	322	11,4	60	1012	0	0	4	2
05/01/2012	05	1	0,4	1	7	15	8	43	1	326	11,2	59	1012	0	0	3	2
05/01/2012	06	1	0,5	2	20	29	23	32	1	323	11,4	57	1012	0	0	4	2
05/01/2012	07	1	0,4	2	18	7	20	33	1,2	331	10,6	61	1013	0	0	2	2
05/01/2012	08	1	0,4	6	33	33	42	18	1,3	316	10,6	60	1013	32	0	5	2
05/01/2012	09	1	0,5	5	20	25	28	38	1,1	322	13,8	49	1013	172	0	4	2
05/01/2012	10	2	0,3	5	18	22	25	43	0,8	314	17,1	38	1012	313	0	4	2
05/01/2012	11	1	0	3	13	18	18	53	0,6	295	19,4	30	1012	418	0	3	2
05/01/2012	12	1	0	8	19	28	31	50	0,6	253	20,9	26	1010	472	0	4	1
05/01/2012	13	1	0	10	24	120	41	46	1,7	302	23	22	1009	463	0	10	2
05/01/2012	14	1	0	10	24	49	39	49	1,9	299	24,1	21	1008	415	0	5	2
05/01/2012	15	1	0,1	9	23	58	37	51	1,9	290	24,5	18	1007	309	0	6	2
05/01/2012	16	1	0,1	19	40	99	69	37	2,3	301	24,2	16	1007	175	0	10	2
05/01/2012	17	0	0,1	1	9	21	10	67	1,9	289	22,8	19	1007	42	0	4	2
05/01/2012	18	1	0,1	1	14	28	16	57	2	302	20,6	25	1007	0	0	6	3
05/01/2012	19	0	0,1	9	27	42	40	41	2,4	317	19,8	27	1007	0	0	8	4
05/01/2012	20	1	0,1	21	39	46	71	29	2,2	304	19,2	28	1007	0	0	9	5
05/01/2012	21	0	0,1	1	9	55	10	62	2,6	322	18,8	29	1007	0	0	10	6
05/01/2012	22	0	0,1	5	20	39	28	50	2	313	19,3	25	1007	0	0	8	4
05/01/2012	23	0	0	1	9	14	10	62	1,1	335	18,8	25	1007	0	0	4	3
06/01/2012	00	0	0	3	16	36	21	53	1,7	337	19,5	22	1006	0	0	7	3
06/01/2012	01	1	0	0	6	18	7	68	3,3	346	20,4	17	1006	0	0	5	3
06/01/2012	02	1	0,1	0	3	53	4	72	4,5	344	21,1	14	1005	0	0,2	7	2
06/01/2012	03	2	0	1	4	15	5	63	1,3	313	20,3	22	1006	0	0	3	1
06/01/2012	04	2	0,1	1	2	4	3	57	1,5	326	19,4	32	1005	0	0	2	1
06/01/2012	05	1	0	1	2	7	3	56	1,2	316	19,5	35	1005	0	0	2	1
06/01/2012	06	1	0	0	3	5	3	54	0,9	359	19,1	37	1006	0	0	2	1
06/01/2012	07	1	0	1	2	4	4	55	1,7	319	19,5	36	1006	0	0	1	1
06/01/2012	08	2	0,1	1	5	6	5	52	0,8	243	19	38	1006	27	0	2	1
06/01/2012	09	2	0,1	1	2	4	3	57	2,1	335	19,7	37	1007	140	0	1	1
06/01/2012	10	3	0,2	1	2	3	3	58	2,9	339	20,3	36	1007	265	0,1	1	1
06/01/2012	11	2	0	1	2	8	3	58	3,6	338	20,1	37	1007	230	0	2	1
06/01/2012	12	2	0,1	1	3	5	4	59	2,7	329	20,9	35	1007	388	0	1	1
06/01/2012	13	2	0,2	1	3	6	5	61	1,1	311	22,8	32	1007	488	0	1	1
06/01/2012	14	3	0,1	1	2	3	4	65	1,4	344	22,8	31	1006	308	0	1	1
06/01/2012	15	3	0,1	1	2	3	4	65	1,6	350	22,8	32	1007	272	0	1	1
06/01/2012	16	3	0,2	1	3	4	5	68	0,6	56	22,3	35	1007	170	0	2	1
06/01/2012	17	3	0,2	1	10	8	11	56	0,5	66	19,3	52	1008	31	0	3	2
06/01/2012	18	2	0,3	1	11	11	11	60	1,1	85	17,7	59	1009	0	0	4	3
06/01/2012	19	2	0,2	1	5	11	6	71	1,3	81	16,6	68	1010	0	0	5	2
06/01/2012	20	1	0,5	1	7	15	8	67	0,4	85	15,8	76	1011	0	0	6	2
06/01/2012	21	1	0,5	0	10	10	10	61	0,3	82	15,2	79	1011	0	0	7	3
06/01/2012	22	0	0,5	1	24	14	26	37	0,3	36	14	83	1012	0	0	10	7
06/01/2012	23	1	0,5	1	18	16	20	27	0,5	344	12,2	86	1012	0	0	11	9
07/01/2012	00	1	0,6	1	12	16	14	29	0,6	336	12	86	1012	0	0	12	9
07/01/2012	01	1	0,5	1	8	13	9	34	0,5	340	12,3	84	1011	0	0	10	7
07/01/2012	02	1	0,4	1	4	9	5	39	0,8	333	12,2	83	1011	0	0	7	4
07/01/2012	03	1	0,5	1	4	8	5	38	0,7	340	11,5	83	1011	0	0	5	3
07/01/2012	04	1	0,6	1	5	9	6	33	0,8	332	10,5	86	1011	0	0	7	4
07/01/2012	05	1	0,5	1	9	11	9	25	1	329	10	87	1011	0	0	9	7
07/01/2012	06	1	0,4	1	8	8	9	28	0,8	340	10,3	85	1012	0	0	6	5
07/01/2012	07	3	0,6	1	10	10	12	24	0,7	330	9,9	86	1012	0	0	7	5
07/01/2012	08	3	0,6	1	10	8	13	24	1	339	9,3	83	1012	24	0	6	4
07/01/2012	09	3	0,9	3	13	10	16	29	0,6	329	11,3	75	1013	149	0	6	5
07/01/2012	10	4	0,5	5	13	30	20	38	0,3	266	14,8	64	1013	294	0	7	3
07/01/2012	11	2	0,2	4	13	25	19	48	0,3	183	16	57	1014	405	0	6	4
07/01/2012	12	2	0	2	11	11	14	59	0,7	161	16,2	56	1013	459	0	6	4
07/01/2012	13	2	0	2	9	11	13	63	0,7	151	16,4	53	1012	457	0	7	5
07/01/2012	14	2	0	2	8	8	10	66	1	160	16,3	55	1012	404	0	5	3
07/01/2012	15	2	0	1	6	8	7	69	1,1	159	16,1	57	1011	300	0	5	4
07/01/2012	16	2	0	1	4	13	5	73	1,1	167	15,4	71	1012	154	0	8	4
07/01/2012	17	3	0	1	6	12	7	68	0,8	176	14,5	78	1012	28	0	7	4
07/01/2012	18	2	0	1	9	15	10	60	0,3	226	13,7	84	1013	0	0	10	6
07/01/2012	19	2	0,1	10	53	23	68	14	0,3	345	12,9	84	1013	0	0	16	12
07/01/2012	20	1	0,2	15	55	29	79	7	0,5	341	12,3	85	1013	0	0	21	17
07/01/2012	21	1	0,1	2	26	22	29	17	0,9	330	10,5	90	1013	0	0	17	13
07/01/2012	22	1	0	2	18	19	21	23	1,1	326	10,4	89	1013	0	0	16	12
07/01/2012	23	1	0	1	13	19	14	27	1,1	327	9,4	89	1013	0	0	16	14
08/01/2012	00	1	0,2	1	9	18	10	30	1,2	328	8,7	90	1013	0	0	16	14
08/01/2012	01	1	0,2	1	8	17	10	30	1,2	329	8,2	91	1012	0	0	15	13
08/01/2012	02	1	0,2	1	6	17	7	27	1,1	329	7,6	92	1012	0	0	15	13
08/01/2012	03	1	0,2	1	13	21	14	18	1,2	330	7,2	93	1012	0	0	19	17
08/01/2012	04	1	0,2	1	10	18	11	20	1,2	332	6,8	93	1012	0	0	17	15
08/01/2012	05	1	0,1	1	7	15	8	23	1,1	332	6,3	92	1012	0	0	14	12
08/01/2012	06	1	0,1	1	6	12	7	25	1,3	325	6,3	90	1011	0	0	11	10
08/01/2012	07	0	0	1	5	10	6	28	0,6	297	6,3	87	1011	0	0	8	7
08/01/2012	08	1	0	2	10	11	13	25	0,3	262	6,7	86	1012	25	0	9	8
08/01/2012	09	1	0,1	3	8	10	12	27	0,9	335	8,2	80	1012	161	0	8	8
08/01/2012	10	2	0,2	4	11	20	17	34	0,5	315	12,2	66	1012	301	0	9	7
08/01/2012	11	2	0	3	9	24	13	56	0,7	237	15	56	1012	404	0	9	6
08/01/2012	12	0	0	1	4	11	5	70	0,7	231	16,2	52	1011	458	0	8	6
08/01/2012	13	0	0	1	5	15	7	72	1,3	208	16,8	52	1010	457	0	12	10
08/01/2012	14	0	0	1	3	10	4	78	1,1	210	17,3	44	1009	403	0	9	7
08/01/2012	15	0	0	1	3	9	3	78	1	199	17,6	44	1008	299	0	7	6
08/01/2012	16	0	0	1	6	13	7	75	0,9	179	16,7	56	1008	161	0	10	8
08/01/2012	17	0	0	1	6	14	7	76	0,8	172	14,5	75	1008	29	0	11	8
08/01/2012	18	0	0	1	8	14	9	69	0,5	211	13,1	79	1009	0	0	10	7
08/01/2012	19	0	0,1	5	40	24	46	33	0,3	317	12,2	83	1009	0	0	18	15
08/01/2012	20	0	0,2	15	53	36	76	6	0,5	331	9,4	88	1009	0	0	26	23
08/01/2012	21	0	0,1	4	33	23	39	11	0,9	329	7,9	90	1009	0	0	20	17
08/01/2012	22	0	0,1	1	16	19	18	21	1	333	7,3	88	1009	0	0	17	15
08/01/2012	23	1	0,2	1	9	18	11	27	1	332	6,9	87	1009	0	0	16	14
09/01/2012	00	1	0,1	3	16	18	20	17	0,7	353	6,5	88	1009	0	0	15	14
09/01/2012	01	1	0,2	1	9	16	10	23	0,9	342	6	90	1009	0	0	15	13
09/01/2012	02	1	0,1	1	5	13	6	30	1	339	6,4	87	1009	0	0	12	10
09/01/2012	03	1	0,1	1	4	9	5	30	1	339	5,9	85	1009	0	0	8	7
09/01/2012	04	0	0	1	4	8	5	31	1	339	6,1	83	1009	0	0	7	6
09/01/2012	05	0	0	0	4	9	4	30	1,1	336	5,7	85	1009	0	0	8	7
09/01/2012	06	0	0	1	8	10	9	29	1,3	333	6	85	1010	0	0	9	8
09/01/2012	07	0	0	2	16	11	19	22	1,3	331	6,1	84	1010	0	0	10	8
09/01/2012	08	0	0,1	7	24	12	34	14	1,2	336	6,1	82	1011	25	0	10	9
09/01/2012	09	1	0,1	10	21	17	36	20	1	336	8,3	76	1012	160	0	11	9
09/01/2012	10	2	0,1	9	20	22	33	32	0,6	336	12,4	65	1012	299	0	11	9
09/01/2012	11	2	0,1	2	10	16	13	66	0,2	29	15,7	63	1012	401	0	10	7
09/01/2012	12	1	0	1	6	13	8	74	0,8	86	15,8	64	1012	455	0	7	5
09/01/2012	13	0	0,1	1	5	12	7	77	0,8	110	15,8	66	1012	463	0	7	5
09/01/2012	14	0	0	1	3	8	3	80	1	132	15,6	70	1011	395	0	6	4
09/01/2012	15	1	0	1	3	9	4	81	1,1	131	15,3	72	1012	268	0	6	4
09/01/2012	16	1	0,1	1	5	11	6	77	0,7	129	14,7	75	1012	80	0	6	4
09/01/2012	17	0	0	1	5	11	7	75	0,4	133	14,2	78	1012	27	0	6	4
09/01/2012	18	0	0,1	1	15	11	17	60	0,2	89	13,9	79	1013	0	0	8	6
09/01/2012	19	0	0,1	2	29	14	31	43	0,1	67	13,8	80	1013	0	0	10	9
09/01/2012	20	0	0,2	33	74	26	125	6	0,1	13	13,1	84	1014	0	0	20	17
09/01/2012	21	1	0,3	82	83	28	209	5	0,2	10	11,9	88	1014	0	0	22	19
09/01/2012	22	0	0,3	13	36	31	55	8	0,7	342	9,1	93	1015	0	0	27	25
09/01/2012	23	0	0,2	1	20	18	22	16	0,9	341	8,4	94	1015	0	0	16	15
10/01/2012	00	0	0,2	3	18	16	22	20	0,8	346	8,5	94	1015	0	0	15	13
10/01/2012	01	0	0	1	3	10	4	36	1,1	339	8	92	1015	0	0	10	9
