Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
01/01/2012	2	0,2	4	14	9	19	44	0,8	309	14,2	60	1009	109	0	6	6
02/01/2012	1	0,1	3	17	33	22	46	1,8	302	15,4	51	1010	92	0	7	4
03/01/2012	2	0,2	4	22	17	28	42	0,9	328	13,3	50	1014	111	0	7	5
04/01/2012	1	0,3	8	28	17	40	36	0,7	345	13,8	52	1014	111	0	8	6
05/01/2012	1	0,2	5	18	34	26	45	1,4	310	17,6	37	1010	117	0	5	3
06/01/2012	2	0,2	1	6	10	7	57	1,5	355	18,9	46	1008	97	0,3	4	2
07/01/2012	2	0,3	3	14	15	17	39	0,8	312	12,5	77	1012	111	0	9	7
08/01/2012	1	0,1	2	12	17	15	39	0,9	295	10,6	77	1010	112	0	13	11
09/01/2012	1	0,1	7	18	15	29	40	0,8	13	10,6	80	1012	107	0	11	9
10/01/2012	1	0,1	4	16	14	23	39	1	320	10,4	81	1015	96	0	10	9
11/01/2012	1	0,1	2	17	14	20	45	0,7	27	10,6	75	1015	93	0	10	8
12/01/2012	1	0,3	10	25	18	40	43	0,5	26	12,7	69	1014	38	0	10	8
13/01/2012	1	0,5	4	19	17	25	40	0,7	304	11,1	79	1010	63	0	12	11
14/01/2012	1	0,3	2	16	26	19	55	1,4	299	14,3	47	1004	114	0	12	10
15/01/2012	1	0,3	6	16	24	25	53	0,7	312	12,6	58	1001	109	0,6	16	14
16/01/2012	2		2	13	6	17	47	0,8	349	11,1	76	995	59	3,5	5	4
17/01/2012	1		3	14	4	19	59	1,1	28	12,6	78	1007	67	1	3	3
18/01/2012	1	0,1	5	18	10	26	45	0,6	20	12,2	77	1017	116	0	7	6
19/01/2012	1	0,3	3	18	16	22	40	1	291	10,4	76	1020	120	0	13	11
20/01/2012	1	0,3	13	27	17	46	26	0,6	350	11	70	1014	114	0	12	11
21/01/2012	0	0,4	3	17	14	22	35	0,8	357	11,5	71	1011	125	0	13	12
22/01/2012	1	0,4	2	13	14	15	41	0,8	302	11,4	72	1006	128	0	13	12
23/01/2012	1		5	20	17	27	34	0,7	6	10,6	79	1003	126	0	15	14
24/01/2012	1	0,2	10	23	23	38	32	0,7	15	10,7	80	1006	125	0	20	19
25/01/2012	0	0,2	8	24	33	36	34	0,6	313	9,6	89	1004	35	0	29	26
26/01/2012	1	0,2	6	24	43	33	37	0,5	0	10,6	84	1002	114	0	37	35
27/01/2012	3	0,1	6	21	23	31	42	0,6	9	12,1	76	1003	88	0	21	20
28/01/2012	1		2	12	8	14	48	0,9	7	11,7	71	1006	64	0	7	6
29/01/2012	1		1	3	3	4	68	2	341	10,9	37	1004	128	0	3	3
30/01/2012	0		3	15	13	20	54	1,1	307	9	37	1007	145	0	4	3
31/01/2012	1	0,3	4	22	25	28	45	1,2	272	11	41	1004	140	0	9	7
01/02/2012	1	0,1	3	19	20	23	60	1,1	280	14	42	997	136	0	8	6
02/02/2012	0		2	11	12	13	55	1,2	358	8,8	60	994	72	2,6	9	9
03/02/2012	2		2	9	15	12	68	1,7	343	5,3	37	1003	146	0	11	10
04/02/2012			1	4	7	5	74	2,2	350	5,3	24	1009	140	0	4	3
05/02/2012	2	0,2	2	7	7	9	61	1,8	309	6,5	48	1010	82	0,1	4	3
06/02/2012	3		3	11	4	17	59	1,7	334	12,4	37	1007	138	0,1	2	1
07/02/2012	4		1	5	3	6	73	2,4	339	12	26	1003	101	0,2	1	1
08/02/2012	3		3	16	17	21	60	0,9	316	6,1	30	1005	157	0	6	5
09/02/2012	2	0,3	3	18	23	23	57	1	308	5,4	52	1010	152	0	15	14
10/02/2012	1	0,2	4	23	26	29	49	0,8	1	8	52	1003	151	0	16	14
11/02/2012	1		2	14	20	17	57	0,9	327	6,3	55	1002	122	0	15	13
12/02/2012	1	0,3	1	11	16	13	67	0,8	322	4,9	42	1004	162	0	9	8
13/02/2012	2		2	15	19	19	71	1,1	331	5,3	31	1007	170	0	8	6
14/02/2012	0	0,2	3	18	19	23	50	1,5	326	7,9	52	1003	105	0	8	6
15/02/2012	0	0,2	3	18	13	22	52	1,2	273	8,2	56	1008	168	0	6	5
16/02/2012	2	0,3	5	19	13	26	52	0,8	358	8,5	60	1005	153	0	7	5
17/02/2012	1	0,2	5	22	14	29	53	0,9	26	8,7	74	1007	144	0	9	8
18/02/2012	1	0,2	1	8	10	10	62	0,9	353	8,8	75	1006	125	0	8	7
19/02/2012	1	0,2	1	9	18	11	58	0,8	15	9,1	77	1005	170	0	15	13
20/02/2012	1	0,3	3	17	20	21	51	0,8	16	9,6	72	1008	113	0	14	12
21/02/2012	1	0,4	4	15	15	21	58	1	16	8,4	72	1010	176	0	10	8
22/02/2012	1	0,4	1	15	17	17	65	1,1	304	9	55	1011	144	0	9	7
23/02/2012	2	0,2	3	24	24	28	62	1	315	10,6	41	1011	180	0	10	8
24/02/2012	3	0,1	5	29	28	36	56	0,7	8	10,6	44	1011	183	0	12	9
25/02/2012	2	0,1	2	23	26	26	67	0,9	333	10,7	56	1006	186	0	16	14
26/02/2012	3	0,1	3	22	22	26	71	0,7	357	15,4	39	1002	179	0	11	9
27/02/2012	1	0	2	16	18	18	67	0,9	53	13,8	67	1006	182	0	13	10
28/02/2012	1	0,1	3	17	18	22	56	0,7	26	11,1	77	1007	180	0	13	10
29/02/2012	1	0,1	3	19	19	24	59	0,8	289	11,2	75	1007	188	0	14	12
01/03/2012	1	0	4	21	27	27	58	0,6	47	11,4	83	1007	181	0	21	19
02/03/2012	0	0,1	2	16	17	19	68	0,7	318	11,6	79	1010	118	0	14	12
03/03/2012	1	0,1	2	14	15	18	68	1,2	296	16	53	1011	181	0	9	8
