Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	HORA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
		µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
06/03/2017	12														0		
06/03/2017	13	3		2	9	12	11	73	4,2	304	22,7	42	1002	716	0	3	1
06/03/2017	14	3		3	15	10	19	69	5,3	305	23,2	42	1001	627	0	2	1
06/03/2017	15	3		2	9	24	11	80	5,4	311	23,5	42	1001	569	0	4	2
06/03/2017	16	3		2	8	20	9	83	5,5	311	23	44	1001	314	0	4	2
06/03/2017	17	3		2	7	5	8	84	4	316	22,2	45	1002	121	0	2	1
06/03/2017	18	3		2	11	3	11	81	3	321	21,5	49	1003	29	0	2	2
06/03/2017	19	3		2	12	4	13	75	3,8	316	20,6	53	1003	0	0	2	2
06/03/2017	20	3		3	22		25	57	3,1	312	20,1	53	1003	0	0		
06/03/2017	21	3		2	18		20	62	2,6	311	19,7	53	1004	0	0		
06/03/2017	22	3		4	35	3	40	42	2,7	301	19,7	52	1005	0	0	2	2
06/03/2017	23	3		11	38	4	54	35	3,9	299	19,7	53	1005	0	0	3	2
07/03/2017	00	3		3	19	5	23	53	4,3	310	19,1	56	1005	0	0	3	2
07/03/2017	01	3		2	7	3	9	64	3,9	310	18,4	60	1005	0	0	2	2
07/03/2017	02	3		2	13	3	15	57	1,7	266	18,4	59	1005	0	0	2	2
07/03/2017	03	3		2	12	3	13	62	2,2	300	18,5	57	1004	0	0	2	2
07/03/2017	04	3		2	4	2	6	76	3,1	328	18,1	59	1004	0	0	2	2
07/03/2017	05	3		2	4	2	6	76	0,9	346	18	58	1004	0	0	2	2
07/03/2017	06	3		2	9	3	10	66	1,9	269	17,5	60	1004	0	0	3	2
07/03/2017	07	3		2	7	4	8	69	3,6	320	17,4	61	1004	30	0	3	2
07/03/2017	08	3		3	15	10	19	68	1,5	326	20	45	1004	181	0	3	2
07/03/2017	09	3		2	15	7	18	71	1,6	295	21,5	39	1005	340	0	2	1
07/03/2017	10	3		2	5	9	7	86	4,7	318	22,2	36	1005	572	0	2	1
07/03/2017	11	3		2	5	15	7	88	2,5	301	23,5	29	1005	595	0	4	1
07/03/2017	12	3		2	4	4	6	89	3	328	25	28	1005	799	0	1	1
