Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	HORA	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10
		µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³
02/01/2015	02	20	18	0.5	324	5.3	84	1018	0	0	13	12	3	0.3	2	18	15
02/01/2015	03	12	24	0.3	312	4.8	85	1018	0	0	10	9	3	0.2	2	10	11
02/01/2015	04	8	30	0.8	331	4.7	85	1017	1	0	7	6	3	0.1	2	6	8
02/01/2015	05	9	26	0.2	328	4.4	84	1017	2	0	6	6	3	0.1	2	7	7
02/01/2015	06	11	22	0.2	337	3.9	85	1018	0	0	6	6	3	0.1	2	9	6
02/01/2015	07	18	17	0.5	332	3.8	83	1018	0	0	5	4	3	0.1	2	16	5
02/01/2015	08	22	17	0.5	328	4.2	82	1019	28	0	5	4	3	0.1	2	19	6
02/01/2015	09	34	19	0.1	330	7.7	73	1019	173	0	6	5	3	0.1	6	24	8
02/01/2015	10	27	34	0.1	314	11.9	59	1020	321	0	9	8	3	0.2	5	19	17
02/01/2015	11	58	27	0.1	190	13.8	51	1020	432	0	8	6	3	0.2	16	34	17
02/01/2015	12	37	40	0.1	202	15	48	1020	485	0	11	10	3	0.2	8	25	15
02/01/2015	13	29	51	0.1	199	16.6	40	1019	482	0	9	8	3	0.2	6	21	12
02/01/2015	14	18	57	0.3	185	16.7	41	1018	421	0	9	8	3	0.1	3	14	12
02/01/2015	15	16	58	0.2	173	16.6	41	1018	312	0	10	9	3	0.1	2	13	12
02/01/2015	16	19	56	0.1	148	16.2	44	1018	167	0	7	6	3	0.2	2	16	11
02/01/2015	17	16	53	0.1	195	15.2	45	1019	32	0	7	6	3	0.2	2	15	11
02/01/2015	18	31	40	0.1	237	13.2	56	1019	1	0	8	7	3	0.1	4	26	14
02/01/2015	19	124	3	0.2	324	10.1	64	1019	0	0	18	15	3	0.4	39	63	33
02/01/2015	20	37	7	0.5	331	7.9	71	1019	1	0	14	13	3	0.2	3	32	19
02/01/2015	21	24	16	0.7	330	7.4	73	1019	1	0	13	12	3	0.2	2	21	16
02/01/2015	22	22	18	0.8	331	7.4	72	1020	1	0	12	11	3	0.2	2	20	14
02/01/2015	23	30	11	0.5	325	6.6	73	1019	1	0	13	12	3	0.2	2	27	15
03/01/2015	00	34	7	0.6	333	6.4	73	1019	1	0	14	13	3	0.3	2	31	15
03/01/2015	01	28	11	0.7	334	6.2	72	1019	1	0	12	12	3	0.3	2	26	13
03/01/2015	02	21	15	0.4	328	5.8	71	1019	1	0	11	10	3	0.2	2	19	12
03/01/2015	03	17	17	0.5	330	5.4	71	1019	1	0	9	9	3	0.2	2	16	10
03/01/2015	04	14	19	0.7	330	5.2	70	1019	1	0	8	7	3	0.1	2	13	8
03/01/2015	05	14	19	0.6	328	4.7	71	1018	1	0	6	6	3	0.1	2	12	7
03/01/2015	06	13	22	0.4	329	5.1	68	1018	2	0	5	5	3	0.1	2	11	7
03/01/2015	07	18	17	0.2	334	4.9	67	1018	2	0	5	4	3	0.1	2	16	9
03/01/2015	08	17	19	0.3	328	5.1	67	1019	34	0	4	4	3	0.1	3	14	6
03/01/2015	09	25	22	0.2	305	8.8	57	1019	182	0	6	5	3	0.1	5	18	23
03/01/2015	10	27	28	0.1	252	12.6	46	1019	331	0	7	4	3	0.1	6	19	32
03/01/2015	11	29	35	0.1	215	15.3	39	1019	440	0	6	5	3	0.1	7	19	10
03/01/2015	12	24	42	0.6	193	16.6	39	1018	494	0	11	10	3	0.2	5	16	15
03/01/2015	13	21	48	1.1	197	17.8	36	1017	491	0	11	11	3	0.2	4	15	15
03/01/2015	14	18	56	1.4	210	18.7	33	1016	433	0	11	10	3	0.2	3	14	14
03/01/2015	15	13	61	1.4	213	19.1	30	1015	325	0	8	7	3	0.2	2	10	10
03/01/2015	16	14	60	0.9	211	19	30	1015	178	0	7	7	3	0.1	2	12	10
03/01/2015	17	15	55	0.3	220	18	31	1015	35	0	7	7	3	0.1	2	13	10
03/01/2015	18	20	52	0.3	248	16.6	32	1015	1	0	9	8	3	0.2	2	17	13
03/01/2015	19	40	25	0.1	297	14.4	37	1015	1	0	11	10	3	0.2	2	37	22
03/01/2015	20	47	10	0.8	310	12.6	42	1015	1	0	10	8	3	0.2	3	43	23
03/01/2015	21	20	42	0.8	287	16.6	26	1015	1	0	4	2	3	0.1	2	18	14
03/01/2015	22	13	49	0.8	303	16	24	1015	0	0	2	2	4	0.1	2	11	8
03/01/2015	23	7	58	1.2	304	16.5	23	1015	0	0	2	1	6	0.1	2	5	7
04/01/2015	00	26	38	0.7	301	16.1	23	1014	0	0	4	2	7	0.1	4	21	22
04/01/2015	01	45	25	1	303	15.9	23	1014	0	0	7	2	3	0.2	7	36	34
04/01/2015	02	81	6	1	301	15.4	24	1013	0	0	11	3	3	0.3	18	53	66
04/01/2015	03	13	49	0.7	317	13.8	27	1013	0	0	6	3	3	0.1	2	10	33
04/01/2015	04	10	49	0.4	314	13.3	30	1013	0	0	4	2	3	0.1	2	9	15
04/01/2015	05	8	49	0.1	326	12.9	31	1013	0	0	3	3	3	0.1	2	6	10
04/01/2015	06	8	41	0.3	322	10.4	39	1012	1	0	4	3	3	0.1	2	6	9
04/01/2015	07	9	40	0.7	327	10	44	1013	1	0	4	4	3	0.1	2	7	8
04/01/2015	08	10	38	0.9	334	10.4	45	1013	34	0	4	3	3	0.1	2	8	6
04/01/2015	09	12	41	0.4	340	14.4	38	1013	182	0	4	3	3	0.1	3	8	6
04/01/2015	10	22	38	0.1	41	16.8	35	1014	326	0	5	4	3	0.2	5	15	7
04/01/2015	11	15	52	0.1	76	20.1	27	1014	433	0	2	2	3	0.1	3	11	4
04/01/2015	12	22	52	0.1	67	20.6	28	1013	487	0	3	2	3	0.2	4	16	5
04/01/2015	13	10	62	0.4	83	20.3	27	1012	485	0	2	2	3	0.1	2	7	3
04/01/2015	14	8	65	0.7	75	19.4	29	1012	427	0	2	2	3	0.1	2	6	3
04/01/2015	15	7	66	0.5	79	18.6	39	1012	318	0	3	2	3	0.1	2	5	3
04/01/2015	16	8	65	0.4	79	17.7	44	1012	173	0	4	3	3	0.1	2	6	4
04/01/2015	17	12	54	0.1	63	16.3	57	1012	34	0	5	4	3	0.2	2	11	6
04/01/2015	18	25	36	0.1	52	14.3	79	1012	1	0	8	7	3	0.2	2	22	9
04/01/2015	19	56	11	0.1	24	13.1	87	1012	0	0	12	11	3	0.3	7	45	13
04/01/2015	20	64	3	0.1	359	10.6	87	1012	0	0	18	17	3	0.4	13	44	22
04/01/2015	21	31	9	0.5	333	9	87	1012	0	0	17	16	3	0.3	3	27	19
04/01/2015	22	12	21	0.7	330	8.9	85	1012	0	0	10	9	3	0.2	2	11	11
04/01/2015	23	10	28	0.9	336	9.3	82	1013	1	0	8	8	3	0.1	2	8	9
05/01/2015	00	35	9	0.2	6	8.8	84	1013	0	0	13	13	3	0.4	5	28	14
05/01/2015	01	8	25	0.7	338	7.9	83	1013	0	0	7	6	3	0.2	2	6	7
05/01/2015	02	6	28	0.6	347	7.9	80	1012	0	0	5	5	3	0.1	2	5	6
05/01/2015	03	8	31	0.8	336	7.7	79	1013	0	0	6	5	3	0.1	2	6	6
05/01/2015	04	9	30	1	333	7.7	78	1012	0	0	6	6	3	0.1	2	7	7
05/01/2015	05	9	30	0.9	331	7.6	77	1012	0	0	7	6	3	0.1	2	7	7
